Year,Board,School,Address,City,Area,energyNorm (ekWh/HDD),ghgNorm (kg/HDD)
2018-2019,Ottawa CSB,St Luke (Carleton),60 Mountshannon Dr,Nepean,56448,164.4,11.32
2018-2019,Ottawa CSB,St Luke (Ottawa),2485 Dwight Cres,Ottawa,55660,172.5,25.2
2018-2019,Ottawa CSB,St Mary ,5536 Bank St,Gloucester,36315,113.7,9.91
2018-2019,Ottawa CSB,St Matthew,6550 Bilberry Dr,Orleans,171220,533.5,55.73
2018-2019,Ottawa CSB,St Michael Corkery,1572 Corkery Rd,Carp,32278,101.4,14.29
2018-2019,Ottawa CSB,St Nicholas (Admiral),893 Admiral Ave,Ottawa,50802,236.4,37.19
2018-2019,Ottawa CSB,St Nicholas (Graham),20 Graham Ave,Ottawa,20790,112.5,18.46
2018-2019,Ottawa CSB,St Patrick Elementary,68 Larkin Dr,Nepean,32480,78.6,5.66
2018-2019,Ottawa CSB,St Paul,2675 Draper Ave,Ottawa,208900,792.1,100.76
2018-2019,Ottawa CSB,St Peter,750 Charlemagne Blvd,Orleans,204321,631.9,50.52
2018-2019,Ottawa CSB,St Philip ,79 Maitland Avenue,Richmond,35892,144,18.39
2018-2019,Ottawa CSB,St Stephen ,1145 Stittsville Main St,Stittsville,55331,200.3,25.14
2018-2019,Ottawa CSB,St Theresa ,2000 Portobello Blvd,Ottawa,46523,188.9,26.72
2018-2019,Ottawa CSB,St Thomas Aquinas - CLOSED,209  Bayswater Ave,Ottawa,24760,141.3,22.35
2018-2019,Ottawa CSB,St. Dominic ES,2300 Espirit Dr,Orleans,49345,146,19.01
2018-2019,Ottawa CSB,St. Gemma,1760 McMaster Ave,Ottawa,27945,87.7,12.18
2018-2019,Ottawa CSB,St. Isabel ,785 Gouldbourn Forced Rd,Ottawa,51056,185.9,29.78
2018-2019,Peel DSB,Adult Education Centre North,7700 Hurontario St,Brampton,19462,145.6,17.52
2018-2019,Peel DSB,Adult Education Centre North (Bramalea) - CLOSED,25 Kings Cross Road,Brampton,17272,13.3,0.39
2018-2019,Peel DSB,Allan Drive MS,254 Allan Drive,Bolton,68148,256.5,31.58
2018-2019,Peel DSB,Alloa PS (holding),1248 Mayfield Road W.,Caledon,38691,369.4,54.16
2018-2019,Peel DSB,Alloa PS (new),12287 Mississauga Rd.,Caledon,76842,305.7,30.25
2018-2019,Peel DSB,Arnott Charlton PS,140 Winterfold Drive,Brampton,65623,291.4,36.5
2018-2019,Peel DSB,Artesian Drive PS,3325 Artesian Drive,Mississauga,62787,317.9,44.37
2018-2019,Peel DSB,Ashgrove PS (holding school),3215 Thorncrest Drive,Mississauga,43475,233.6,28.07
2018-2019,Peel DSB,Beatty-Fleming Sr PS,21 Campbell Drive,Brampton,66514,333.1,48.07
2018-2019,Peel DSB,Belfountain PS,17247 Shaws Creek Rd.,Belfountain,14526,169.7,31.65
2018-2019,Peel DSB,Beryl Ford PS,45 Ironshield Dr.,Brampton,84276,330.1,36.22
2018-2019,Peel DSB,Brandon Gate PS,3800 Brandon Gate Drive,Mississauga,42370,172.1,23.16
2018-2019,Peel DSB,Brian W. Fleming PS,3255 Havenwood Drive,Mississauga,70510,478,71.43
2018-2019,Peel DSB,Briarwood PS,1065 Mississauga Valley Blvd.,Mississauga,50191,255.4,32.93
2018-2019,Peel DSB,Britannia Farm House & Conover Farm,5490 Hurontario Street,Mississauga,1000,0.3,0.01
2018-2019,Peel DSB,Britannia PS,1135 Swinbourne Drive,Mississauga,80183,422.8,58.09
2018-2019,Peel DSB,Britannia Schoolhouse,5650 Hurontario St.,Mississauga,1438,9.5,0.28
2018-2019,Peel DSB,Calderstone MS,160 Calderstone Road,Brampton,68802,340.5,38.56
2018-2019,Peel DSB,Caledon Central PS,18357 Kennedy Rd.,Caledon,62346,397.7,57.95
2018-2019,Peel DSB,Caledon East PS,15738 Airport Road,Caledon,32573,250.8,35.09
2018-2019,Peel DSB,Adult Education Centre South,100 Elm Drive,Mississauga,91485,550.9,71.74
2018-2019,Peel DSB,Agnes Taylor PS,80 Beech St.,Brampton,55087,286,37.18
2018-2019,Peel DSB,Allan A Martin Sr PS,1390 Ogden Avenue,Mississauga,53598,281.4,42.41
2018-2019,Peel DSB,Aloma Crescent PS,57 Aloma Crescent,Brampton,43656,263.5,38.54
2018-2019,Peel DSB,Alton PS,19657 Main Street,Caledon,41606,123,12.97
2018-2019,Peel DSB,Applewood Heights SS,945 Bloor Street E.,Mississauga,169761,875.9,126.73
2018-2019,Peel DSB,Aylesbury PS,25 Aylesbury Drive,Brampton,89132,286.2,35.23
2018-2019,Peel DSB,Balmoral Drive Sr PS,233 Balmoral Drive,Brampton,68508,395.9,53.56
2018-2019,Peel DSB,Barondale PS,200 Barondale Drive,Mississauga,54752,348.6,47.05
2018-2019,Peel DSB,Birchbank PS,52 Birchbank Road,Brampton,40964,215.8,32.03
2018-2019,Peel DSB,Bramalea SS,510 Balmoral Drive,Brampton,218812,1184,158.15
2018-2019,Peel DSB,Brampton Centennial SS,251 McMurchy Avenue S.,Brampton,195302,985.9,122.85
2018-2019,Peel DSB,Brisdale PS,370 Brisdale Drive,Brampton,81244,394.2,49.77
2018-2019,Peel DSB,Bristol Road MS,210 Bristol Road,Mississauga,70452,281.9,31.05
2018-2019,Peel DSB,"Britannia Dunton House, Farm Field Centre",5576 Hurontario Street,Mississauga,5344,26.5,2.48
2018-2019,Peel DSB,Brookmede PS,2250 Council Ring Road,Mississauga,54213,245.9,30.16
2018-2019,Peel DSB,Burnhamthorpe PS,3465 Golden Orchard Drive,Mississauga,54438,288,39.39
2018-2019,Peel DSB,Burnt Elm PS,85 Burnt Elm Drive,Brampton,83743,444.8,59.89
2018-2019,Peel DSB,Camilla Road Sr PS,201 Cherry Post Road,Mississauga,74584,257.4,24.44
2018-2019,Peel DSB,Carberry PS,526 Fernforest Drive ,Brampton,70805,280.2,32.48
2018-2019,Peel DSB,Cashmere Avenue PS,2455 Cashmere Avenue,Mississauga,43847,244.7,33.53
2018-2019,Peel DSB,Castle Oaks PS,155  Castle Oaks Crossing Dr,Brampton,82315,212.7,19.2
2018-2019,Peel DSB,Castlebridge PS,2801 Castlebridge Drive,Mississauga,55671,379.7,52.87
2018-2019,Peel DSB,Castlebrooke SS,10 Gardenbrooke Trail,Brampton,218201,885.2,84.37
2018-2019,Peel DSB,Central Peel SS,32 Kennedy Road North,Brampton,186983,1106.9,150.87
2018-2019,Peel DSB,Champlain Trail PS,895 Ceremonial Road,Mississauga,71507,401.6,53.47
2018-2019,Peel DSB,Cherrytree PS,155 Cherrytree Drive,Brampton,62774,326.1,45.21
2018-2019,Peel DSB,Churchill Meadows PS,3310 McDowell Drive,Mississauga,65306,277.9,32.35
2018-2019,Peel DSB,Churchville PS,90 Bonnie Braes Drive,Brampton,89761,310.6,32.91
2018-2019,Peel DSB,Claireville PS,97 Gallucci Crescent,Brampton,68129,754.8,109.6
2018-2019,Peel DSB,Clifton PS,2389 Cliff Road,Mississauga,38884,218.7,30.05
2018-2019,Peel DSB,Conestoga PS,300 Conestoga Drive,Brampton,60186,287.1,35.5
2018-2019,Peel DSB,Cooksville Creek PS,5100 Salishan Circle,Mississauga,60828,231.3,29.81
2018-2019,Peel DSB,Countryside Village PS,40 Dolbyhill Dr,Brampton,85806,301.2,34.34
2018-2019,Peel DSB,Credit Valley PS,2365 Credit Valley Road,Mississauga,70122,330.8,41.19
2018-2019,Peel DSB,Credit View PS - CLOSED,13990 Mississauga Road,Caledon,15482,128.2,29.64
2018-2019,Peel DSB,Derry West Village PS,620 Twain Avenue,Mississauga,62960,288.2,35.25
2018-2019,Peel DSB,Dixie PS,1120 Flagship Drive,Mississauga,40501,202.9,31.04
2018-2019,Peel DSB,Dolphin Sr PS,18 Brookside Drive,Mississauga,69865,347.2,42.39
2018-2019,Peel DSB,Eagle Plains PS,40 Eagle Planes Drive,Brampton,65406,393.7,50.21
2018-2019,Peel DSB,Earnscliffe Sr PS,50 Earnscliffe Circle,Brampton,95692,418.1,58.44
2018-2019,Peel DSB,Eastbourne Drive PS,702 Balmoral Drive,Brampton,48550,327.7,50.45
2018-2019,Peel DSB,Eldorado PS,25 Wardsville Drive,Brampton,86422,288.9,29.61
2018-2019,Peel DSB,Ellengale PS,3480 Ellengale Drive,Mississauga,34339,174.5,21.67
2018-2019,Peel DSB,Ellwood Memorial PS,35 Ellwood Drive E.,Bolton,47479,248.7,34.4
2018-2019,Peel DSB,Castlemore PS,9916 The Gore Rd.,Brampton,72113,335.8,35.1
2018-2019,Peel DSB,Cawthra Park SS,1305 Cawthra Road,Mississauga,177364,1211.3,153.94
2018-2019,Peel DSB,Centennial Sr PS,50 Ladore Crescent,Brampton,76489,430.9,57.98
2018-2019,Peel DSB,Cheyne MS,236 Queen Mary Drive,Brampton,88252,277.2,26.9
2018-2019,Peel DSB,Chinguacousy SS,1370 Williams Parkway,Brampton,193353,795.7,95.12
2018-2019,Peel DSB,Chris Hadfield PS,465 Fairview Road West,Mississauga,69260,225.9,26.13
2018-2019,Peel DSB,Clark Boulevard PS,201 Clark Boulevard,Brampton,63547,355.4,50.08
2018-2019,Peel DSB,Clarkson PS,888 Clarkson Road S.,Mississauga,26244,187.3,29.25
2018-2019,Peel DSB,Clarkson SS,2524 Bromsgrove Road,Mississauga,186976,883.7,111.07
2018-2019,Peel DSB,Copeland PS,5 Young Drive,Brampton,59276,249,30.1
2018-2019,Peel DSB,Corliss PS,3730 Corliss Crescent,Mississauga,37377,207.6,27.87
2018-2019,Peel DSB,Corsair PS,2230 Corsair Road,Mississauga,78000,225.5,26.7
2018-2019,Peel DSB,Darcel Avenue Sr PS,7635 Darcel Avenue,Mississauga,66321,310.6,38.63
2018-2019,Peel DSB,David Leeder MS,6900 Gooderham Estate Blvd.,Mississauga,93162,419.9,50.59
2018-2019,Peel DSB,David Suzuki SS,45 Daviselm Drive,Brampton,215897,1025.5,115.66
2018-2019,Peel DSB,Dolson PS,95 Remembrance Rd.,Brampton,86471,332.8,40.03
2018-2019,Peel DSB,Dorset Drive PS,100 Dorset Drive,Brampton,42666,281,40.35
2018-2019,Peel DSB,Dunrankin Drive PS,3700 Dunrankin Drive,Mississauga,60600,302.9,43.65
2018-2019,Peel DSB,Edenbrook Hill PS,61 Edenbrook Hill Road,Brampton,76082,183,14.26
2018-2019,Peel DSB,Edenrose PS,1342 Edenrose Street,Mississauga,78846,388.3,51.77
2018-2019,Peel DSB,Edenwood MS,6770 Edenwood Drive,Mississauga,62239,230.6,26.74
2018-2019,Peel DSB,Elmcrest PS - CLOSED JUNE 2016,2620 Chalkwell Close,Mississauga,37259,182.2,30.63
2018-2019,Peel DSB,Erin Centre MS,3240 Erin Centre Blvd.,Mississauga,79978,288.2,30.14
2018-2019,Peel DSB,Erin Mills Sr PS,3546 South Common Court,Mississauga,60289,279.7,36.87
2018-2019,Peel DSB,Erindale SS,2021 Dundas Street W.,Mississauga,166809,902.6,132.2
2018-2019,Peel DSB,Esker Lake PS,10420 Heart Lake Road,Brampton,50992,277.9,40.95
2018-2019,Peel DSB,Fairlawn PS,40 Fairlawn Blvd.,Brampton,81914,270.3,31.17
2018-2019,Peel DSB,Fallingdale PS,510 Clark Boulevard,Brampton,32043,236.5,30.47
2018-2019,Peel DSB,Fernforest PS,275 Fernforest Drive,Brampton,87382,369.1,46.44
2018-2019,Peel DSB,Fletcher's Creek Sr PS,92 Malta Avenue,Brampton,76546,349,41.08
2018-2019,Peel DSB,Forest Avenue PS,20 Forest Avenue,Mississauga,24907,151.6,21.4
2018-2019,Peel DSB,Forest Glen PS,3400 Ponytrail Drive,Mississauga,44668,228,32.85
2018-2019,Peel DSB,Garthwood Park PS,3245 Colonial Drive,Mississauga,51823,231.6,30.33
2018-2019,Peel DSB,Goldcrest PS,24 Goldcrest Road,Brampton,39940,285,29.82
2018-2019,Peel DSB,Gordon Graydon Memorial SS,1490 Ogden Avenue,Mississauga,159180,1100.2,169.08
2018-2019,Peel DSB,Gordon Graydon Sr PS,170 Rutherford Road,Brampton,64863,318.9,42.29
2018-2019,Peel DSB,Grenoble PS,33 Greenbriar Road,Brampton,37666,273.3,38.31
2018-2019,Peel DSB,GW Finlayson Field Study Centre,20917 Mississauga Road,Alton,6304,25.1,0.74
2018-2019,Peel DSB,H.J.A. Brown Education Centre,5650 Hurontario Street,Mississauga,159563,1172.3,107.66
2018-2019,Peel DSB,Hawthorn PS,2473 Rosemary Drive,Mississauga,22604,206.6,28.47
2018-2019,Peel DSB,Hazel McCallion Sr PS,5750 River Grove Avenue,Mississauga,87277,396.9,44.99
2018-2019,Peel DSB,Heart Lake SS,296 Conestoga Drive,Brampton,163799,974,129.04
2018-2019,Peel DSB,Hickory Wood PS,630 Ray Lawson Boulevard,Brampton,90120,403.3,52.67
2018-2019,Peel DSB,Hillcrest MS,1530 Springwell Avenue,Mississauga,44906,89.1,9
2018-2019,Peel DSB,Hilldale PS,100 Hilldale Crescent,Brampton,33436,159.4,22.29
2018-2019,Peel DSB,Humberview SS,135 Kingsview Drive,Bolton,177615,832.2,99.1
2018-2019,Peel DSB,Huntington Ridge PS,345 Huntington Ridge Drive,Mississauga,59886,289.7,40.49
2018-2019,Peel DSB,Huttonville PS,2322 Embleton Rd.,Brampton,66028,378.1,53.41
2018-2019,Peel DSB,Fairview PS,3590 Joan Drive,Mississauga,53071,237.6,31.23
2018-2019,Peel DSB,Fairwind Sr PS,5235 Fairwind Drive,Mississauga,76599,329.1,39.57
2018-2019,Peel DSB,Fallingbrook MS,5187 Fallingbrook Drive,Mississauga,74323,338,45.26
2018-2019,Peel DSB,Fletcher's Meadow SS & Parkholme School,10750 Chinguacousy Road,Brampton,237880,957.4,95.19
2018-2019,Peel DSB,Floradale PS,210 Paisley Boulevard West,Mississauga,58960,300.4,37.93
2018-2019,Peel DSB,Folkstone PS,104 Folkstone Crescent,Brampton,41879,197.8,26.4
2018-2019,Peel DSB,Glendale PS,35 Sunset Boulevard,Brampton,36922,254.4,36.51
2018-2019,Peel DSB,Glenforest SS,3675 Fieldgate Drive,Mississauga,176281,1213.2,151.49
2018-2019,Peel DSB,Glenhaven Sr PS,3570 Havenwood Drive,Mississauga,58010,435,65.96
2018-2019,Peel DSB,Great Lakes PS,285 Great Lakes Drive,Brampton,87987,416.6,49.92
2018-2019,Peel DSB,Green Glade Sr PS,1550 Green Glade,Mississauga,42613,219.7,23.69
2018-2019,Peel DSB,Greenbriar Sr PS,1140 Central Park Drive,Brampton,59224,241.5,29.3
2018-2019,Peel DSB,Hanover PS,215 Hanover Road,Brampton,33541,123.9,12.03
2018-2019,Peel DSB,Harold F Loughin PS,39 Herkley Drive,Brampton,35730,193.6,23.57
2018-2019,Peel DSB,Harold M Brathwaite SS,415 Great Lakes Drive,Brampton,191810,919.5,101.89
2018-2019,Peel DSB,Helen Wilson PS,9 Abbey Road,Brampton,30228,290.5,45.09
2018-2019,Peel DSB,Herb Campbell PS,3749 King Street,Caledon,64881,445.6,60.83
2018-2019,Peel DSB,Hewson PS,235 Father Tobin Rd.,Brampton,64685,307.4,34.32
2018-2019,Peel DSB,Hillside Sr PS,1290 Kelly Road,Mississauga,90872,349.5,36.43
2018-2019,Peel DSB,Homelands Sr PS,2420 Homelands Drive,Mississauga,55709,310.2,44.67
2018-2019,Peel DSB,Homestead PS,99 Fletcher's Creek Blvd.,Brampton,97997,361.1,45.95
2018-2019,Peel DSB,Ingleborough PS,60 Ingleborough Drive,Brampton,81091,283.9,28.97
2018-2019,Peel DSB,Jack Smythe Field Study Centre,14592 Winston Churchill Blvd,Terra Cotta,6205,40.2,1.19
2018-2019,Peel DSB,James Bolton PS,225 Kingsview Drive,Bolton,59793,237.3,26.24
2018-2019,Peel DSB,James Grieve PS,12175 Bramalea Road,Caledon,79889,304.9,32.52
2018-2019,Peel DSB,James Potter PS,9775 Creditview Road,Brampton,64542,305.8,36.42
2018-2019,Peel DSB,Janet I. McDougald PS,498 Hartsdale Avenue,Mississauga,52813,224.8,24.81
2018-2019,Peel DSB,Judith Nyman SS,1305 Williams Pkwy,Brampton,153050,922.1,114.46
2018-2019,Peel DSB,Kenollie PS,1376 Glenwood Drive,Mississauga,26716,148.8,20.45
2018-2019,Peel DSB,Kindree PS,7370 Terragar Blvd.,Mississauga,71882,355.9,49.12
2018-2019,Peel DSB,Lancaster PS,7425 Netherwood Road,Mississauga,69101,385.2,55.02
2018-2019,Peel DSB,Larkspur PS,111 Larkspur Road,Brampton,98012,375.5,47.82
2018-2019,Peel DSB,Levi Creek PS,1525 Samuelson Circle,Mississauga,56601,320.8,44.59
2018-2019,Peel DSB,Lorne Park Jr PS,1325 Indian Road,Mississauga,30356,212.6,31.03
2018-2019,Peel DSB,Lorne Park SS,1324 Lorne Park Road,Mississauga,161821,789,113.86
2018-2019,Peel DSB,Lougheed MS,475 Father Tobin Drive,Brampton,77732,372.9,43.35
2018-2019,Peel DSB,Maintenance Services North,24 Holtby Avenue,Brampton,9314,115.8,15.52
2018-2019,Peel DSB,Maintenance Services South,933 Central Parkway,Mississauga,48053,326.6,42.16
2018-2019,Peel DSB,Maple Wood PS,2650 Gananoque Drive,Mississauga,26110,120.7,16.21
2018-2019,Peel DSB,McBride Avenue PS - Metered with Woodland,974 McBride Avenue,Mississauga,45218,149.7,26.64
2018-2019,Peel DSB,McClure PS,50 Parity Rd,Brampton,86476,236.5,27.32
2018-2019,Peel DSB,McCrimmon MS,83 McCrimmon Drive,Brampton,88994,337.1,38.46
2018-2019,Peel DSB,Meadowvale Village PS,890 Derry Road W.,Mississauga,62077,220.4,26.13
2018-2019,Peel DSB,Middlebury PS,5482 Middlebury Drive,Mississauga,60457,298.8,37.83
2018-2019,Peel DSB,Miller's Grove PS,6325 Miller's Grove Road,Mississauga,33607,177.8,24.89
2018-2019,Peel DSB,Mississauga SS,550 Courtney Park Drive,Mississauga,204653,964.9,101.67
2018-2019,Peel DSB,Morning Star MS,3131 Morning Star Drive,Mississauga,127000,449.1,53.78
2018-2019,Peel DSB,Morton Way PS,200 Morton Way,Brampton,61630,325.4,43.98
2018-2019,Peel DSB,Jean Augustine SS,500  Elbern Markell Drive,Brampton,210071,835.6,98.77
2018-2019,Peel DSB,Jefferson PS,48 Jefferson Road,Brampton,42695,189.9,25.3
2018-2019,Peel DSB,John Fraser SS,2665 Erin Centre Boulevard,Mississauga,200727,961.7,112.87
2018-2019,Peel DSB,Kings Masting PS - CLOSED,3351 King's Masting Crescent,Mississauga,30977,130,17.81
2018-2019,Peel DSB,Kingswood Drive PS,235 Kingswood Drive,Brampton,67961,298.8,39.48
2018-2019,Peel DSB,Lakeview Park PS (formerly named Peel Alternative School South),1239 Lakeshore Road East,Mississauga,25709,144.7,24.26
2018-2019,Peel DSB,Lincoln M. Alexander SS,3545 Morning Star Drive,Mississauga,201050,1117.9,152.69
2018-2019,Peel DSB,Lisgar MS,6755 Lisgar Drive,Mississauga,94597,352.2,46.99
2018-2019,Peel DSB,Lorenville PS,10 Lorenville Drive,Brampton,83890,260.6,26.93
2018-2019,Peel DSB,Louise Arbour SS,365 Father Tobin Road,Brampton,209493,1129.3,139.71
2018-2019,Peel DSB,Macville PS,7280 King Street,Bolton,35686,262.9,52.1
2018-2019,Peel DSB,Madoc Drive PS,49 Madoc Drive,Brampton,34993,187,22.04
2018-2019,Peel DSB,Marvin Heights PS,7455 Redstone Road,Mississauga,45935,273,41.32
2018-2019,Peel DSB,Massey PS,95 Massey Street,Brampton,49164,226,26.69
2018-2019,Peel DSB,Mayfield SS,5000 Mayfield Road,Caledon,240032,1197.7,149.65
2018-2019,Peel DSB,McHugh PS,31 Craig Street,Brampton,33443,210.2,31
2018-2019,Peel DSB,McKinnon PS,3270 Tacc Drive,Mississauga,67866,324.9,37.69
2018-2019,Peel DSB,Meadowvale SS,6700 Edenwood Drive,Mississauga,177610,888.8,116.72
2018-2019,Peel DSB,Mineola PS,145 Windy Oaks Drive,Mississauga,38488,190.8,27.07
2018-2019,Peel DSB,Mineola PS Annex,166 Windy Oaks Drive,Mississauga,6190,52.6,6.18
2018-2019,Peel DSB,Mississauga Field Office,2180 Harvest Drive,Mississauga,30142,217.8,29.64
2018-2019,Peel DSB,Mount Pleasant Village PS,100 Commuter Drive,Brampton,62716,424.3,60.49
2018-2019,Peel DSB,Mount Royal PS,65 Mount Royal Circle,Brampton,85035,335.8,33.73
2018-2019,Peel DSB,Mountain Ash PS,280 Mountainash Rd.,Brampton,71358,267.1,35.74
2018-2019,Peel DSB,Munden Park PS,515 Tedwyn Drive,Mississauga,42153,201.8,23.15
2018-2019,Peel DSB,Nahani Way PS,235 Nahani Way,Mississauga,66154,320.6,43.33
2018-2019,Peel DSB,Nelson Mandela PS,10125 Chinguacousy Road,Brampton,81294,291.7,34.36
2018-2019,Peel DSB,Oakridge PS,2060 Stonehouse Crescent,Mississauga,25431,146.9,21.64
2018-2019,Peel DSB,Oscar Peterson PS,5120 Perennial Drive,Mississauga,78683,314.8,34.46
2018-2019,Peel DSB,Osprey Woods PS,6135 Lisgar Drive,Mississauga,57992,200.1,21.65
2018-2019,Peel DSB,Peel Alternative School North,315 Bartley Bull Parkway,Brampton,36200,237.6,34.35
2018-2019,Peel DSB,Peel Alternative School South (formerly named Neil C Matheson PS),1500 Ogden Avenue,Mississauga,28031,235,35.92
2018-2019,Peel DSB,Plowman's Park PS,5940 Montevideo Road,Mississauga,41364,245.8,35.03
2018-2019,Peel DSB,Queen Street PS,635 Queen Street,Brampton,55013,243.9,31.73
2018-2019,Peel DSB,Queenston Drive PS,3520 Queenston Drive,Mississauga,53574,391.4,58.89
2018-2019,Peel DSB,Ray Lawson PS,725 Ray Lawson Blvd.,Brampton,63243,220.3,23.82
2018-2019,Peel DSB,Ridgeview PS,25 Brenda Avenue,Brampton,64630,332.5,44.6
2018-2019,Peel DSB,Ridgewood PS,7207 Cambrett Drive,Mississauga,73013,392.1,55.32
2018-2019,Peel DSB,Riverside PS,30 John Street North,Mississauga,41658,227,24.81
2018-2019,Peel DSB,Ross Drive PS,40 Ross Drive,Brampton,88699,329.7,36.29
2018-2019,Peel DSB,Rowntree PS,254 Queen Mary Drive,Brampton,75092,268.6,27.92
2018-2019,Peel DSB,Royal Orchard MS,77 Royal Orchard Drive,Brampton,68994,253.3,27.89
2018-2019,Peel DSB,Sawmill Valley PS,3625 Sawmill Valley Drive,Mississauga,44687,188.6,23.35
2018-2019,Peel DSB,Settler's Green PS,5800 Montevideo Road,Mississauga,50746,241.8,28.06
2018-2019,Peel DSB,Shaw PS,10 Father Tobin Road,Brampton,75896,294.1,32.91
2018-2019,Peel DSB,Silver Creek PS,460 Silver Creek Blvd.,Mississauga,32917,172.7,22.7
2018-2019,Peel DSB,Silverthorn PS,3535 Cedar Creek Drive,Mississauga,34782,192.8,28.64
2018-2019,Peel DSB,Sir Isaac Brock PS,45 Meltwater Crescent,Brampton,89857,311.2,35.68
2018-2019,Peel DSB,North Field Office,215 Orenda Road,Brampton,27552,192.3,19.09
2018-2019,Peel DSB,North Park SS,10 North Park Drive,Brampton,174914,845.2,101.46
2018-2019,Peel DSB,Northwood PS,70 Gretna Drive,Brampton,47842,314,45.73
2018-2019,Peel DSB,Owenwood PS,930 Owenwood Drive,Mississauga,17351,187.8,30.09
2018-2019,Peel DSB,Palgrave PS,8962 Patterson Sideroad,Palgrave,65463,258.3,29.34
2018-2019,Peel DSB,Parkway PS,24 Duncan Bull Drive,Brampton,41981,276.4,39.75
2018-2019,Peel DSB,Plum Tree Park PS,6855 Tenth Line West,Mississauga,77059,316.4,40.18
2018-2019,Peel DSB,Port Credit SS,70 Mineola Road East,Mississauga,175951,1114.7,157.83
2018-2019,Peel DSB,Queen Elizabeth Sr PS,60 South Service Road,Mississauga,45436,334.8,46.99
2018-2019,Peel DSB,Ray Underhill PS,32 Suburban Drive,Mississauga,30895,160.3,22.49
2018-2019,Peel DSB,Red Willow PS,Red Willow Drive,Brampton,80077,347.8,45.1
2018-2019,Peel DSB,Rick Hansen SS,1150 Dream Crest Road,Mississauga,211095,1101.5,127.09
2018-2019,Peel DSB,Robert H Lagerquist Sr PS,105 Richvale Drive North,Brampton,68077,260.8,33.45
2018-2019,Peel DSB,Robert J Lee PS,160 Mountainash Road,Brampton,90571,429.1,52.65
2018-2019,Peel DSB,Roberta Bondar PS,30 Pantomine Blvd. ,Brampton,85040,292,28.14
2018-2019,Peel DSB,Russell D Barber PS,255 North Park Drive,Brampton,66324,320.1,41.54
2018-2019,Peel DSB,Ruth Thompson MS,5605 Freshwater Drive,Mississauga,83644,306.1,30.72
2018-2019,Peel DSB,Sandalwood Heights SS,2671 Sandalwood Parkway East,Brampton,197245,939.2,99.43
2018-2019,Peel DSB,Shelter Bay PS,6735 Shelter Bay Road,Mississauga,44001,209.6,29.23
2018-2019,Peel DSB,Sheridan Park PS,2280 Perran Drive,Mississauga,47633,386.2,60.06
2018-2019,Peel DSB,Sherwood Mills PS,1385 Sherwood Mills Blvd.,Mississauga,68307,381.4,52.6
2018-2019,Peel DSB,Sir John A Macdonald Sr PS,250 Centre Street North,Brampton,63001,278.2,37.03
2018-2019,Peel DSB,Sir Wilfrid Laurier PS,364 Bartley Bull Parkway,Brampton,36522,255.3,34.73
2018-2019,Peel DSB,Sir William Gage MS,625 Queen Street,Brampton,74372,330.9,39.64
2018-2019,Peel DSB,Sir Winston Churchill PS,89 Ardglen Drive,Brampton,59080,349.7,49.99
2018-2019,Peel DSB,Somerset Drive PS,50 Somerset Drive,Brampton,51917,210.9,27.62
2018-2019,Peel DSB,Southfields Village PS,110 Learmont Avenue,Caledon,86212,259,8.93
2018-2019,Peel DSB,Stanley Mills PS,286 Sunny Meadow Blvd.,Brampton,60089,283,34.28
2018-2019,Peel DSB,Stephen Lewis SS & Applewood School,3675 Thomas Street,Mississauga,229160,903.5,93.56
2018-2019,Peel DSB,Streetsville SS,72 Joymar Drive,Mississauga,132090,790.1,110.96
2018-2019,Peel DSB,Terry Fox PS,95 Richvale Drive North,Brampton,50281,232.4,29.99
2018-2019,Peel DSB,The Valleys Sr PS,1235 Mississauga Valley Blvd.,Mississauga,59958,269.5,35.33
2018-2019,Peel DSB,The Woodlands,3225 Erindale Station Road,Mississauga,217880,1221.6,141.8
2018-2019,Peel DSB,Thornwood PS,277 Mississauga Valley Blvd.,Mississauga,48926,176.2,20.85
2018-2019,Peel DSB,Tomken Road MS,3200 Tomken Road,Mississauga,102716,442.2,58.84
2018-2019,Peel DSB,Tony Pontes PS,12872 Kennedy Rd,Caledon,71605,299.9,39.7
2018-2019,Peel DSB,Turner Fenton SS North,7935 Kennedy Road S.,Brampton,160729,695.3,87.64
2018-2019,Peel DSB,Turner Fenton SS South,7935 Kennedy Road S.,Brampton,128539,679,87.5
2018-2019,Peel DSB,Vista Heights PS,89 Vista Boulevard,Mississauga,62798,365.9,50
2018-2019,Peel DSB,Westervelts Corners PS / St. Cecilia's,20 Brickyard Way,Brampton,49345,266,35.07
2018-2019,Peel DSB,Whaley's Corners PS,140 Howard Stewart Rd,Brampton,75981,232.2,28.91
2018-2019,Peel DSB,Whitehorn PS,5785 Whitehorn Avenue,Mississauga,67875,237.2,28.14
2018-2019,Peel DSB,Willow Way PS,1715 Willow Way,Mississauga,44867,235.6,31.89
2018-2019,Peel DSB,Worthington PS,71 Worthington Avenue,Brampton,82043,344.3,44.13
2018-2019,Peel DSB,Springbrook PS,145 Jordensen Drive,Brampton,85013,249.9,27.97
2018-2019,Peel DSB,Springdale PS,100 Dewside Drive,Brampton,82487,385.1,49.34
2018-2019,Peel DSB,Springfield PS,3251 The Credit Woodlands,Mississauga,39556,207.2,29.35
2018-2019,Peel DSB,Sunny View MS,30 Chapparal Drive,Brampton,76876,228.9,22.04
